Scientific Name,Drugs.com URL,Adult Dosage,Pediatric Dosage,Renal Dose,Liver Dose,Dosage Context
"ALUMINUM HYDROXIDE, MAGNESIUM HYDROXIDE, SIMETHICONE",https://www.drugs.com/dosage/aluminum-hydroxide-magnesium-hydroxide-simethicone.html,Dyspepsia | Flatulence,Dyspepsia | Flatulence |,,,[Adult] Dyspepsia | Flatulence // [Pediatric] Dyspepsia | Flatulence |
ACETYLCYSTEINE,https://www.drugs.com/dosage/acetylcysteine.html,Acetaminophen Overdose | Diagnostic Bronchograms | Mucolytic,Acetaminophen Overdose | Diagnostic Bronchograms | Mucolytic |,,,[Adult] Acetaminophen Overdose | Diagnostic Bronchograms | Mucolytic // [Pediatric] Acetaminophen Overdose | Diagnostic Bronchograms | Mucolytic |
PERAMPANEL,https://www.drugs.com/dosage/perampanel.html,Epilepsy | Seizures,Epilepsy | Seizures |,,,[Adult] Epilepsy | Seizures // [Pediatric] Epilepsy | Seizures |
ORITAVANCIN,https://www.drugs.com/dosage/oritavancin.html,Skin and Structure Infection |,,,,[Adult] Skin and Structure Infection |
LUTROPIN ALFA,https://www.drugs.com/dosage/lutropin-alfa.html,Follicle Stimulation |,,,,[Adult] Follicle Stimulation |
CAPTOPRIL,https://www.drugs.com/dosage/captopril.html,Hypertension | Congestive Heart Failure | Left Ventricular Dysfunction | Diabetic Nephropathy | Hypertensive Emergency |,,,,[Adult] Hypertension | Congestive Heart Failure | Left Ventricular Dysfunction | Diabetic Nephropathy | Hypertensive Emergency |
SUGAMMADEX,https://www.drugs.com/dosage/sugammadex.html,Reversal of Nondepolarizing Muscle Relaxants |,,,,[Adult] Reversal of Nondepolarizing Muscle Relaxants |
SERTRALINE,https://www.drugs.com/dosage/sertraline.html,Depression | Obsessive Compulsive Disorder | Panic Disorder | Post Traumatic Stress Disorder | Social Anxiety Disorder | Premenstrual Dysphoric Disorder,Obsessive Compulsive Disorder |,,,[Adult] Depression | Obsessive Compulsive Disorder | Panic Disorder | Post Traumatic Stress Disorder | Social Anxiety Disorder | Premenstrual Dysphoric Disorder // [Pediatric] Obsessive Compulsive Disorder |
"EZETIMIBE, SIMVASTATIN",https://www.drugs.com/dosage/ezetimibe-simvastatin.html,Hyperlipidemia | Homozygous Familial Hypercholesterolemia,Hyperlipidemia | Homozygous Familial Hypercholesterolemia |,,,[Adult] Hyperlipidemia | Homozygous Familial Hypercholesterolemia // [Pediatric] Hyperlipidemia | Homozygous Familial Hypercholesterolemia |
MAGNESIUM SULFATE,https://www.drugs.com/dosage/magnesium-sulfate.html,Hypomagnesemia | Atrial Tachycardia | Pre-eclampsia/Eclampsia | Constipation | Barium Poisoning | Seizures | Cerebral Edema,Constipation |,,,[Adult] Hypomagnesemia | Atrial Tachycardia | Pre-eclampsia/Eclampsia | Constipation | Barium Poisoning | Seizures | Cerebral Edema // [Pediatric] Constipation |
TEMOZOLOMIDE,https://www.drugs.com/dosage/temozolomide.html,Anaplastic Astrocytoma | Glioblastoma Multiforme,Anaplastic Astrocytoma | Glioblastoma Multiforme |,,,[Adult] Anaplastic Astrocytoma | Glioblastoma Multiforme // [Pediatric] Anaplastic Astrocytoma | Glioblastoma Multiforme |
CEFIXIME,https://www.drugs.com/dosage/cefixime.html,Urinary Tract Infection | Otitis Media | Tonsillitis/Pharyngitis | Gonococcal Infection - Uncomplicated,Otitis Media | Urinary Tract Infection | Tonsillitis/Pharyngitis | Bronchitis | Gonococcal Infection - Uncomplicated | Bacterial Infection |,,,[Adult] Urinary Tract Infection | Otitis Media | Tonsillitis/Pharyngitis | Gonococcal Infection - Uncomplicated // [Pediatric] Otitis Media | Urinary Tract Infection | Tonsillitis/Pharyngitis | Bronchitis | Gonococcal Infection - Uncomplicated | Bacterial Infection |
"MAGALDRATE, SIMETHICONE",https://www.drugs.com/dosage/magaldrate-simethicone.html,Dyspepsia | Flatulence |,,,,[Adult] Dyspepsia | Flatulence |
MIRABEGRON,https://www.drugs.com/dosage/mirabegron.html,Urinary Incontinence | Urinary Frequency | Overactive Bladder Syndrome,Bladder Muscle Dysfunction - Overactive |,,,[Adult] Urinary Incontinence | Urinary Frequency | Overactive Bladder Syndrome // [Pediatric] Bladder Muscle Dysfunction - Overactive |
DESLORATADINE,https://www.drugs.com/dosage/desloratadine.html,Allergic Rhinitis | Urticaria,Allergic Rhinitis | Urticaria |,,,[Adult] Allergic Rhinitis | Urticaria // [Pediatric] Allergic Rhinitis | Urticaria |
SELEXIPAG,https://www.drugs.com/dosage/selexipag.html,Pulmonary Hypertension |,,,,[Adult] Pulmonary Hypertension |
LORATADINE,https://www.drugs.com/dosage/loratadine.html,Allergic Rhinitis | Urticaria,Allergic Rhinitis | Urticaria |,,,[Adult] Allergic Rhinitis | Urticaria // [Pediatric] Allergic Rhinitis | Urticaria |
"GLECAPREVIR, PIBRENTASVIR",https://www.drugs.com/dosage/glecaprevir-pibrentasvir.html,Chronic Hepatitis C,Chronic Hepatitis C |,,,[Adult] Chronic Hepatitis C // [Pediatric] Chronic Hepatitis C |
CYTARABINE,https://www.drugs.com/dosage/cytarabine.html,Acute Nonlymphocytic Leukemia | Acute Lymphocytic Leukemia | Meningeal Leukemia,Acute Nonlymphocytic Leukemia | Acute Lymphocytic Leukemia | Meningeal Leukemia |,,,[Adult] Acute Nonlymphocytic Leukemia | Acute Lymphocytic Leukemia | Meningeal Leukemia // [Pediatric] Acute Nonlymphocytic Leukemia | Acute Lymphocytic Leukemia | Meningeal Leukemia |
TUCATINIB,https://www.drugs.com/dosage/tucatinib.html,Breast Cancer | Colorectal Cancer |,,,,[Adult] Breast Cancer | Colorectal Cancer |
DAROLUTAMIDE,https://www.drugs.com/dosage/darolutamide.html,Prostate Cancer |,,,,[Adult] Prostate Cancer |
LAMOTRIGINE,https://www.drugs.com/dosage/lamotrigine.html,Epilepsy | Bipolar Disorder | Lennox-Gastaut Syndrome,Epilepsy | Lennox-Gastaut Syndrome |,,,[Adult] Epilepsy | Bipolar Disorder | Lennox-Gastaut Syndrome // [Pediatric] Epilepsy | Lennox-Gastaut Syndrome |
AMPHOTERICIN B,https://www.drugs.com/dosage/amphotericin-b.html,Ocular Fungal Infection | Aspergillosis - Invasive | Blastomycosis | Candida Urinary Tract Infection | Candidemia | Coccidioidomycosis | Cryptococcal Meningitis - Immunocompetent Host | Histoplasmosis - Immunocompetent Host | Oral Thrush | Sporotrichosis | Leishmaniasis | Mucormycosis - Invasive | Systemic Fungal Infection,Blastomycosis | Candidemia | Cryptococcal Meningitis - Immunosuppressed Host | Systemic Fungal Infection | Sporotrichosis |,,,[Adult] Ocular Fungal Infection | Aspergillosis - Invasive | Blastomycosis | Candida Urinary Tract Infection | Candidemia | Coccidioidomycosis | Cryptococcal Meningitis - Immunocompetent Host | Histoplasmosis - Immunocompetent Host | Oral Thrush | Sporotrichosis | Leishmaniasis | Mucormycosis - Invasive | Systemic Fungal Infection // [Pediatric] Blastomycosis | Candidemia | Cryptococcal Meningitis - Immunosuppressed Host | Systemic Fungal Infection | Sporotrichosis |
ANIFROLUMAB,https://www.drugs.com/dosage/anifrolumab.html,Systemic Lupus Erythematosus |,,,,[Adult] Systemic Lupus Erythematosus |
GLIMEPIRIDE,https://www.drugs.com/dosage/glimepiride.html,Diabetes Type 2,Diabetes Type 2 |,,,[Adult] Diabetes Type 2 // [Pediatric] Diabetes Type 2 |
TRALOKINUMAB,https://www.drugs.com/dosage/tralokinumab.html,Atopic Dermatitis |,,,,[Adult] Atopic Dermatitis |
CEFTRIAXONE,https://www.drugs.com/dosage/ceftriaxone.html,Urinary Tract Infection | Bacterial Infection | Septicemia | Pneumonia | Osteomyelitis | Joint Infection | Bacteremia | Bronchitis | Gonococcal Infection - Uncomplicated | Intraabdominal Infection | Meningitis | Pelvic Inflammatory Disease | Skin or Soft Tissue Infection | Skin and Structure Infection | Surgical Prophylaxis | Chancroid | Conjunctivitis | Endocarditis | Bacterial Endocarditis Prophylaxis | Epididymitis - Sexually Transmitted | Gonococcal Infection - Disseminated | Lyme Disease - Neurologic | Lyme Disease - Carditis | Lyme Disease - Arthritis | Meningococcal Meningitis Prophylaxis | Neurosyphilis | Proctitis | Salmonella Gastroenteritis | Salmonella Enteric Fever | STD Prophylaxis | Syphilis - Early,Bacteremia | Joint Infection | Osteomyelitis | Septicemia | Bacterial Infection | Urinary Tract Infection | Meningitis | Otitis Media | Skin and Structure Infection | Bronchitis | Pneumonia | Intraabdominal Infection | Gonococcal Infection - Uncomplicated | Gonococcal Infection - Disseminated | Meningococcal Meningitis Prophylaxis | Endocarditis | Bacterial Endocarditis Prophylaxis | Lyme Disease | Salmonella Enteric Fever | Salmonella Gastroenteritis | STD Prophylaxis | Conjunctivitis | Ocular Infection | Chancroid | Surgical Prophylaxis |,,,[Adult] Urinary Tract Infection | Bacterial Infection | Septicemia | Pneumonia | Osteomyelitis | Joint Infection | Bacteremia | Bronchitis | Gonococcal Infection - Uncomplicated | Intraabdominal Infection | Meningitis | Pelvic Inflammatory Disease | Skin or Soft Tissue Infection | Skin and Structure Infection | Surgical Prophylaxis | Chancroid | Conjunctivitis | Endocarditis | Bacterial Endocarditis Prophylaxis | Epididymitis - Sexually Transmitted | Gonococcal Infection - Disseminated | Lyme Disease - Neurologic | Lyme Disease - Carditis | Lyme Disease - Arthritis | Meningococcal Meningitis Prophylaxis | Neurosyphilis | Proctitis | Salmonella Gastroenteritis | Salmonella Enteric Fever | STD Prophylaxis | Syphilis - Early // [Pediatric] Bacteremia | Joint Infection | Osteomyelitis | Septicemia | Bacterial Infection | Urinary Tract Infection | Meningitis | Otitis Media | Skin and Structure Infection | Bronchitis | Pneumonia | Intraabdominal Infection | Gonococcal Infection - Uncomplicated | Gonococcal Infection - Disseminated | Meningococcal Meningitis Prophylaxis | Endocarditis | Bacterial Endocarditis Prophylaxis | Lyme Disease | Salmonella Enteric Fever | Salmonella Gastroenteritis | STD Prophylaxis | Conjunctivitis | Ocular Infection | Chancroid | Surgical Prophylaxis |
RIBOCICLIB,https://www.drugs.com/dosage/ribociclib.html,Breast Cancer |,,,,[Adult] Breast Cancer |
ENCORAFENIB,https://www.drugs.com/dosage/encorafenib.html,Non-Small Cell Lung Cancer | Melanoma - Metastatic | Colorectal Cancer |,,,,[Adult] Non-Small Cell Lung Cancer | Melanoma - Metastatic | Colorectal Cancer |
BINIMETINIB,https://www.drugs.com/dosage/binimetinib.html,Melanoma - Metastatic |,,,,[Adult] Melanoma - Metastatic |
MEFLOQUINE,https://www.drugs.com/dosage/mefloquine.html,Malaria | Malaria Prophylaxis,Malaria | Malaria Prophylaxis |,,,[Adult] Malaria | Malaria Prophylaxis // [Pediatric] Malaria | Malaria Prophylaxis |
"INSULIN DEGLUDEC, LIRAGLUTIDE",https://www.drugs.com/dosage/insulin-degludec-liraglutide.html,Diabetes Type 2 |,,,,[Adult] Diabetes Type 2 |
SOMATROGON,https://www.drugs.com/dosage/somatrogon.html,,Pediatric Growth Hormone Deficiency |,,,[Pediatric] Pediatric Growth Hormone Deficiency |
METHYLDOPA,https://www.drugs.com/dosage/methyldopa.html,Hypertension | Hypertensive Emergency |,,,,[Adult] Hypertension | Hypertensive Emergency |
PEGASPARGASE,https://www.drugs.com/dosage/pegaspargase.html,Acute Lymphoblastic Leukemia,Acute Lymphoblastic Leukemia |,,,[Adult] Acute Lymphoblastic Leukemia // [Pediatric] Acute Lymphoblastic Leukemia |
TIROFIBAN,https://www.drugs.com/dosage/tirofiban.html,Acute Coronary Syndrome |,,,,[Adult] Acute Coronary Syndrome |
ASCIMINIB,https://www.drugs.com/dosage/asciminib.html,Chronic Myelogenous Leukemia |,,,,[Adult] Chronic Myelogenous Leukemia |
BARICITINIB,https://www.drugs.com/dosage/baricitinib.html,Rheumatoid Arthritis | COVID-19 | Alopecia,COVID-19 |,,,[Adult] Rheumatoid Arthritis | COVID-19 | Alopecia // [Pediatric] COVID-19 |
MANNITOL,https://www.drugs.com/dosage/mannitol.html,Oliguria | Cerebral Edema |,,,,[Adult] Oliguria | Cerebral Edema |
FEBUXOSTAT,https://www.drugs.com/dosage/febuxostat.html,Gout |,,,,[Adult] Gout |
PLERIXAFOR,https://www.drugs.com/dosage/plerixafor.html,non-Hodgkin's Lymphoma | Multiple Myeloma |,,,,[Adult] non-Hodgkin's Lymphoma | Multiple Myeloma |
METHYLPREDNISOLONE,https://www.drugs.com/dosage/methylprednisolone.html,Allergic Rhinitis | Keloids | Lichen Planus | Granuloma Annulare | Dermatological Disorders | Psoriasis | Lichen Simplex Chronicus | Dermatologic Lesion | Alopecia | Rheumatoid Arthritis | Adrenogenital Syndrome | Allergic Reaction | Epicondylitis | Synovitis | Acute Gout | Bursitis | Nephrotic Syndrome | Osteoarthritis | Rejection Prophylaxis | Rejection Reversal | Tendonitis | Anti-inflammatory | Neoplastic Diseases | Asthma - Acute | Asthma - Maintenance | Multiple Sclerosis,Nephrotic Syndrome | Rejection Prophylaxis | Rejection Reversal | Anti-inflammatory | Neoplastic Diseases | Asthma - Acute | Asthma - Maintenance | Juvenile Rheumatoid Arthritis | Allergic Reaction | Alopecia | Dermatologic Lesion | Lichen Simplex Chronicus | Psoriasis | Dermatological Disorders | Allergic Urticaria | Granuloma Annulare | Lichen Planus | Keloids |,,,[Adult] Allergic Rhinitis | Keloids | Lichen Planus | Granuloma Annulare | Dermatological Disorders | Psoriasis | Lichen Simplex Chronicus | Dermatologic Lesion | Alopecia | Rheumatoid Arthritis | Adrenogenital Syndrome | Allergic Reaction | Epicondylitis | Synovitis | Acute Gout | Bursitis | Nephrotic Syndrome | Osteoarthritis | Rejection Prophylaxis | Rejection Reversal | Tendonitis | Anti-inflammatory | Neoplastic Diseases | Asthma - Acute | Asthma - Maintenance | Multiple Sclerosis // [Pediatric] Nephrotic Syndrome | Rejection Prophylaxis | Rejection Reversal | Anti-inflammatory | Neoplastic Diseases | Asthma - Acute | Asthma - Maintenance | Juvenile Rheumatoid Arthritis | Allergic Reaction | Alopecia | Dermatologic Lesion | Lichen Simplex Chronicus | Psoriasis | Dermatological Disorders | Allergic Urticaria | Granuloma Annulare | Lichen Planus | Keloids |
IMIQUIMOD,https://www.drugs.com/dosage/imiquimod.html,Keratosis | Condylomata Acuminata | Basal Cell Carcinoma,Condylomata Acuminata |,,,[Adult] Keratosis | Condylomata Acuminata | Basal Cell Carcinoma // [Pediatric] Condylomata Acuminata |
PEGVISOMANT,https://www.drugs.com/dosage/pegvisomant.html,Acromegaly |,,,,[Adult] Acromegaly |
RIOCIGUAT,https://www.drugs.com/dosage/riociguat.html,Pulmonary Hypertension |,,,,[Adult] Pulmonary Hypertension |
HYDRALAZINE,https://www.drugs.com/dosage/hydralazine.html,Hypertension | Hypertensive Emergency,Hypertension | Hypertensive Emergency |,,,[Adult] Hypertension | Hypertensive Emergency // [Pediatric] Hypertension | Hypertensive Emergency |
TICAGRELOR,https://www.drugs.com/dosage/ticagrelor.html,Acute Coronary Syndrome | Prevention of Atherothrombotic Events | Thromboembolic Stroke Prophylaxis | Coronary Artery Disease | Myocardial Infarction - Prophylaxis | Ischemic Stroke | Ischemic Stroke - Prophylaxis |,,,,[Adult] Acute Coronary Syndrome | Prevention of Atherothrombotic Events | Thromboembolic Stroke Prophylaxis | Coronary Artery Disease | Myocardial Infarction - Prophylaxis | Ischemic Stroke | Ischemic Stroke - Prophylaxis |
SILODOSIN,https://www.drugs.com/dosage/silodosin.html,Benign Prostatic Hyperplasia |,,,,[Adult] Benign Prostatic Hyperplasia |
TERBUTALINE,https://www.drugs.com/dosage/terbutaline.html,Asthma - Acute | Asthma - Maintenance,Asthma - Acute | Asthma - Maintenance |,,,[Adult] Asthma - Acute | Asthma - Maintenance // [Pediatric] Asthma - Acute | Asthma - Maintenance |
RIMEGEPANT,https://www.drugs.com/dosage/rimegepant.html,Migraine | Migraine Prophylaxis |,,,,[Adult] Migraine | Migraine Prophylaxis |
CEFACLOR,https://www.drugs.com/dosage/cefaclor.html,Upper Respiratory Tract Infection | Bronchitis | Otitis Media | Pneumonia | Skin and Structure Infection | Tonsillitis/Pharyngitis | Pyelonephritis | Urinary Tract Infection,Tonsillitis/Pharyngitis | Otitis Media | Cystitis | Pneumonia | Pyelonephritis | Urinary Tract Infection | Skin and Structure Infection | Bronchitis | Bacterial Infection |,,,[Adult] Upper Respiratory Tract Infection | Bronchitis | Otitis Media | Pneumonia | Skin and Structure Infection | Tonsillitis/Pharyngitis | Pyelonephritis | Urinary Tract Infection // [Pediatric] Tonsillitis/Pharyngitis | Otitis Media | Cystitis | Pneumonia | Pyelonephritis | Urinary Tract Infection | Skin and Structure Infection | Bronchitis | Bacterial Infection |
DOCETAXEL,https://www.drugs.com/dosage/docetaxel.html,Non-Small Cell Lung Cancer | Breast Cancer | Gastric Cancer | Head and Neck Cancer | Prostate Cancer |,,,,[Adult] Non-Small Cell Lung Cancer | Breast Cancer | Gastric Cancer | Head and Neck Cancer | Prostate Cancer |
CITALOPRAM,https://www.drugs.com/dosage/citalopram.html,Depression,,,,[Adult] Depression
BUPIVACAINE,https://www.drugs.com/dosage/bupivacaine.html,Local Anesthesia | Cesarean Section | Anesthesia,Local Anesthesia |,,,[Adult] Local Anesthesia | Cesarean Section | Anesthesia // [Pediatric] Local Anesthesia |
"INSULIN GLARGINE, LIXISENATIDE",https://www.drugs.com/dosage/insulin-glargine-lixisenatide.html,Diabetes Type 2 |,,,,[Adult] Diabetes Type 2 |
GEMFIBROZIL,https://www.drugs.com/dosage/gemfibrozil.html,Hyperlipidemia | Hyperlipoproteinemia Type IIb (Elevated LDL + VLDL) | Hyperlipoproteinemia Type IV (Elevated VLDL) | Hyperlipoproteinemia Type V (Elevated Chylomicrons + VLDL) | Hypertriglyceridemia | Prevention of Cardiovascular Disease |,,,,[Adult] Hyperlipidemia | Hyperlipoproteinemia Type IIb (Elevated LDL + VLDL) | Hyperlipoproteinemia Type IV (Elevated VLDL) | Hyperlipoproteinemia Type V (Elevated Chylomicrons + VLDL) | Hypertriglyceridemia | Prevention of Cardiovascular Disease |
DEXLANSOPRAZOLE,https://www.drugs.com/dosage/dexlansoprazole.html,Erosive Esophagitis | Gastroesophageal Reflux Disease,Erosive Esophagitis | Gastroesophageal Reflux Disease |,,,[Adult] Erosive Esophagitis | Gastroesophageal Reflux Disease // [Pediatric] Erosive Esophagitis | Gastroesophageal Reflux Disease |
FREMANEZUMAB,https://www.drugs.com/dosage/fremanezumab.html,Migraine Prophylaxis |,,,,[Adult] Migraine Prophylaxis |
AZILSARTAN MEDOXOMIL,https://www.drugs.com/dosage/azilsartan-medoxomil.html,Hypertension |,,,,[Adult] Hypertension |
SOTORASIB,https://www.drugs.com/dosage/sotorasib.html,Non-Small Cell Lung Cancer |,,,,[Adult] Non-Small Cell Lung Cancer |
PEMETREXED,https://www.drugs.com/dosage/pemetrexed.html,Non-Small Cell Lung Cancer | Malignant Pleural Mesothelioma |,,,,[Adult] Non-Small Cell Lung Cancer | Malignant Pleural Mesothelioma |
LACTULOSE,https://www.drugs.com/dosage/lactulose.html,Constipation - Chronic | Constipation - Acute | Hepatic Encephalopathy,Hepatic Encephalopathy | Constipation - Chronic |,,,[Adult] Constipation - Chronic | Constipation - Acute | Hepatic Encephalopathy // [Pediatric] Hepatic Encephalopathy | Constipation - Chronic |
FARICIMAB,https://www.drugs.com/dosage/faricimab.html,Macular Degeneration | Retinal Disorder | Macular Edema |,,,,[Adult] Macular Degeneration | Retinal Disorder | Macular Edema |
AXICABTAGENE CILOLEUCEL,https://www.drugs.com/dosage/axicabtagene-ciloleucel.html,Lymphoma |,,,,[Adult] Lymphoma |
PRAZIQUANTEL,https://www.drugs.com/dosage/praziquantel.html,Schistosoma japonicum | Schistosoma haematobium | Schistosoma mekongi | Schistosoma mansoni | Clonorchis sinensis (Liver Fluke) | Opisthorchis viverrini (Liver Fluke) | Fasciolopsis buski (Intestinal Fluke) | Heterophyes heterophyes (Intestinal Fluke) | Metagonimus yokogawai (Intestinal Fluke) | Nanophyetus salmincola | Paragonimus westermani (Lung Fluke) | Diphyllobothrium latum (Fish Tapeworm) | Dipylidium caninum (Dog Tapeworm) | Taenia saginata (beef tapeworm) | Taenia solium (pork tapeworm) | Hymenolepis nana (Dwarf Tapeworm) | Cysticercus cellulosae (Cysticercosis),Schistosoma mekongi | Schistosoma mansoni | Schistosoma japonicum | Schistosoma haematobium | Opisthorchis viverrini (Liver Fluke) | Clonorchis sinensis (Liver Fluke) | Fasciolopsis buski (Intestinal Fluke) | Heterophyes heterophyes (Intestinal Fluke) | Metagonimus yokogawai (Intestinal Fluke) | Nanophyetus salmincola | Paragonimus westermani (Lung Fluke) | Diphyllobothrium latum (Fish Tapeworm) | Dipylidium caninum (Dog Tapeworm) | Taenia saginata (beef tapeworm) | Taenia solium (pork tapeworm) | Hymenolepis nana (Dwarf Tapeworm) | Cysticercus cellulosae (Cysticercosis) |,,,[Adult] Schistosoma japonicum | Schistosoma haematobium | Schistosoma mekongi | Schistosoma mansoni | Clonorchis sinensis (Liver Fluke) | Opisthorchis viverrini (Liver Fluke) | Fasciolopsis buski (Intestinal Fluke) | Heterophyes heterophyes (Intestinal Fluke) | Metagonimus yokogawai (Intestinal Fluke) | Nanophyetus salmincola | Paragonimus westermani (Lung Fluke) | Diphyllobothrium latum (Fish Tapeworm) | Dipylidium caninum (Dog Tapeworm) | Taenia saginata (beef tapeworm) | Taenia solium (pork tapeworm) | Hymenolepis nana (Dwarf Tapeworm) | Cysticercus cellulosae (Cysticercosis) // [Pediatric] Schistosoma mekongi | Schistosoma mansoni | Schistosoma japonicum | Schistosoma haematobium | Opisthorchis viverrini (Liver Fluke) | Clonorchis sinensis (Liver Fluke) | Fasciolopsis buski (Intestinal Fluke) | Heterophyes heterophyes (Intestinal Fluke) | Metagonimus yokogawai (Intestinal Fluke) | Nanophyetus salmincola | Paragonimus westermani (Lung Fluke) | Diphyllobothrium latum (Fish Tapeworm) | Dipylidium caninum (Dog Tapeworm) | Taenia saginata (beef tapeworm) | Taenia solium (pork tapeworm) | Hymenolepis nana (Dwarf Tapeworm) | Cysticercus cellulosae (Cysticercosis) |
